MIDPNT_LON, ALLVEH_AMPEAK, FLOW, LABEL, ALLVEHS_AADT, LOCATION_ID, ALLVEH_PMPEAK, YR,MIDPNT_LAT, GROWTH_RATE, OBJECTID
145.1311908,,NORTH EAST BOUND,"20,000* (6% 1,200*) NORTH EAST BOUND",20000,3533,,2017,-38.02799378,0.011,355817
145.7051698,,NORTH EAST BOUND,498* (6% 29*) NORTH EAST BOUND,498,5187,,2017,-37.75297975,0.016,355819
145.4584121,,SOUTH WEST BOUND,448* (8% 37*) SOUTH WEST BOUND,448,3928,,2017,-37.81626186,0,355820
145.359652,958,SOUTH BOUND,"11,000 (6% 643*) SOUTH BOUND",11000,4442,932,2017,-37.76420741,0.012,355821
144.8487366,,SOUTH BOUND,"8,700* (17% 1,400*) SOUTH BOUND",8700,4195,,2017,-37.82436457,-0.004,355824
144.5710565,,EAST BOUND,"4,900* (8% 400*) EAST BOUND",4900,4199,,2017,-38.17285852,0.012,355825
144.9014428,,EAST BOUND,"12,000* (6% 744*) EAST BOUND",12000,4015,,2017,-37.80431898,0.021,355826
144.9444426,,NORTH EAST BOUND,"9,500* (11% 1,100*) NORTH EAST BOUND",9500,4543,,2017,-37.83126414,-0.005,355827
144.9899273,959,SOUTH BOUND,"15,000 (6% 939*) SOUTH BOUND",15000,4545,1600,2017,-37.89570598,0.004,355828
145.0159116,,EAST BOUND,"7,000* (5% 328*) EAST BOUND",7000,4207,,2017,-37.97549589,-0.004,355829
145.0578,799,EAST BOUND,"9,400 (7% 675*) EAST BOUND",9400,3617,848,2017,-37.96566566,0.001,355830
